Letra 
 Quantidade 127 Codigo 11001000
Letra   Quantidade 4411 Codigo 111
Letra Ô Quantidade 1 Codigo 110010101010011
Letra Õ Quantidade 1 Codigo 110010101010100
Letra Ö Quantidade 1 Codigo 110010101010101
Letra × Quantidade 1 Codigo 110010101010110
Letra Ø Quantidade 1 Codigo 110010101010111
Letra Ù Quantidade 1 Codigo 110010101011000
Letra Ú Quantidade 1 Codigo 110010101011001
Letra Û Quantidade 1 Codigo 110010101011010
Letra Ü Quantidade 1 Codigo 110010101011011
Letra Ý Quantidade 1 Codigo 110010101011100
Letra Þ Quantidade 1 Codigo 110010101011101
Letra ß Quantidade 1 Codigo 110010101011110
Letra à Quantidade 24 Codigo 0111011111
Letra á Quantidade 94 Codigo 10010000
Letra â Quantidade 8 Codigo 110010011110
Letra ã Quantidade 115 Codigo 10100010
Letra ä Quantidade 1 Codigo 110010101011111
Letra å Quantidade 1 Codigo 00000001000000
Letra æ Quantidade 1 Codigo 00000001000001
Letra ç Quantidade 122 Codigo 10100100
Letra è Quantidade 1 Codigo 00000001000010
Letra é Quantidade 67 Codigo 110010110
Letra ê Quantidade 20 Codigo 0000011101
Letra ë Quantidade 1 Codigo 00000001000011
Letra ì Quantidade 1 Codigo 00000001000100
Letra í Quantidade 34 Codigo 1100111010
Letra î Quantidade 1 Codigo 00000001000101
Letra ï Quantidade 1 Codigo 00000001000110
Letra ð Quantidade 1 Codigo 00000001000111
Letra ñ Quantidade 1 Codigo 00000001001000
Letra ò Quantidade 1 Codigo 00000001001001
Letra ó Quantidade 68 Codigo 110010111
Letra ô Quantidade 4 Codigo 1100101000000
Letra õ Quantidade 6 Codigo 100100110101
Letra ö Quantidade 1 Codigo 00000001001010
Letra ÷ Quantidade 1 Codigo 00000001001011
Letra ø Quantidade 1 Codigo 00000001001100
Letra ù Quantidade 1 Codigo 00000001001101
Letra ú Quantidade 15 Codigo 10100101010
Letra û Quantidade 1 Codigo 00000001001110
Letra ü Quantidade 1 Codigo 00000001001111
Letra ý Quantidade 1 Codigo 01110011101000
Letra þ Quantidade 1 Codigo 01110011101001
Letra ÿ Quantidade 1 Codigo 10010011011010
